
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3604     175   171436     206264     333.86   6596   1 explorer                                                                                                                                                                          
   1825      68   148040     185868     291.53   7356   1 chrome                                                                                                                                                                            
    684      49   256676     164968     171.95    468   1 chrome                                                                                                                                                                            
   1096      84    50060      57068     137.66   2460   1 Steam                                                                                                                                                                             
    491      27    37080      46168      82.97  12268   1 chrome                                                                                                                                                                            
   1027      83   160288     186456      74.34   7268   1 chrome                                                                                                                                                                            
    791      42    44856      41696      56.22   6296   1 NVIDIA Share                                                                                                                                                                      
    441      56   106812     126864      43.86  12076   1 chrome                                                                                                                                                                            
   2405     174   194100     227464      42.27   8060   1 SearchUI                                                                                                                                                                          
    498      98    54704      56256      41.06   5980   1 nvcontainer                                                                                                                                                                       
    338      35    73656      72792      32.89   5808   1 NVIDIA Share                                                                                                                                                                      
    368      33    55808      84536      27.66  13536   1 chrome                                                                                                                                                                            
    414      20     7392      11092      19.39   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35244      56148      16.61   7672   1 OpenHardwareMonitor                                                                                                                                                               
    709      19     8300      18852      11.80   6004   1 sihost                                                                                                                                                                            
    264      16    13284      23332      10.91   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      79144      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    560      34   106376      87608       8.75    788   1 steamwebhelper                                                                                                                                                                    
    777      34    16144      32472       7.63   7332   1 RuntimeBroker                                                                                                                                                                     
    719      79    33544      10084       7.11   6896   1 NVIDIA Web Helper                                                                                                                                                                 
