
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3596     177   169288     206012     335.38   6596   1 explorer                                                                                                                                                                          
   1824      67   148040     185400     294.00   7356   1 chrome                                                                                                                                                                            
    684      49   254924     163484     172.19    468   1 chrome                                                                                                                                                                            
   1196      89    50980      63068     139.61   2460   1 Steam                                                                                                                                                                             
    491      27    37112      46048      82.98  12268   1 chrome                                                                                                                                                                            
   1027      86   172576     197224      80.84   7268   1 chrome                                                                                                                                                                            
    793      42    44900      44956      56.47   6296   1 NVIDIA Share                                                                                                                                                                      
   1006    3010  3183116    1321368      50.27  11384   1 Three_Kingdoms                                                                                                                                                                    
    430      36    59636      86292      47.42  12076   1 chrome                                                                                                                                                                            
   1593     117   156832     192696      45.23   8060   1 SearchUI                                                                                                                                                                          
    498      98    54732      57360      41.28   5980   1 nvcontainer                                                                                                                                                                       
    338      35    74076      79060      33.14   5808   1 NVIDIA Share                                                                                                                                                                      
    368      33    55808      84028      27.66  13536   1 chrome                                                                                                                                                                            
    422      21     7452      11784      19.48   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35052      55504      16.63   7672   1 OpenHardwareMonitor                                                                                                                                                               
    720      19     8244      19944      11.81   6004   1 sihost                                                                                                                                                                            
    254      15    13228      23244      10.98   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      78592      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    588      35    88296      79892       8.77    788   1 steamwebhelper                                                                                                                                                                    
    705      32    16108      31344       7.83   7332   1 RuntimeBroker                                                                                                                                                                     
