
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3580     182   170968     208012     338.55   6596   1 explorer                                                                                                                                                                          
   1887      68   148980     187296     296.73   7356   1 chrome                                                                                                                                                                            
    707      52   271692     165796     175.13    468   1 chrome                                                                                                                                                                            
   1186      87    50636      62644     153.36   2460   1 Steam                                                                                                                                                                             
    985    3008  3193824    1321344      87.50  11384   1 Three_Kingdoms                                                                                                                                                                    
    496      27    37088      46124      83.02  12268   1 chrome                                                                                                                                                                            
   1019      69   165012     191276      82.73   7268   1 chrome                                                                                                                                                                            
    795      42    44936      34016      56.69   6296   1 NVIDIA Share                                                                                                                                                                      
    420      34    58936      86384      48.08  12076   1 chrome                                                                                                                                                                            
   1593     117   156832     191984      45.23   8060   1 SearchUI                                                                                                                                                                          
    498      98    54728      57372      41.34   5980   1 nvcontainer                                                                                                                                                                       
    344      36    74132      78688      33.25   5808   1 NVIDIA Share                                                                                                                                                                      
    371      34    66256      95832      30.97  13536   1 chrome                                                                                                                                                                            
    383      29    37076      67496      22.91  11592   1 chrome                                                                                                                                                                            
    422      21     7452      11784      19.69   5972   1 nvcontainer                                                                                                                                                                       
    425      30    35052      55440      16.64   7672   1 OpenHardwareMonitor                                                                                                                                                               
    696      18     8096      19828      11.81   6004   1 sihost                                                                                                                                                                            
    254      15    13228      23244      11.08   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      78528      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    590      35    88296      75388       8.77    788   1 steamwebhelper                                                                                                                                                                    
