
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   3584     181   175452     211864     338.14   6596   1 explorer                                                                                                                                                                          
   1883      68   148988     187296     296.08   7356   1 chrome                                                                                                                                                                            
    707      52   271692     165584     174.50    468   1 chrome                                                                                                                                                                            
   1186      87    50636      62652     150.08   2460   1 Steam                                                                                                                                                                             
    492      27    37080      46116      83.02  12268   1 chrome                                                                                                                                                                            
   1017      69   165000     192164      82.03   7268   1 chrome                                                                                                                                                                            
    990    3009  3193144    1321272      81.89  11384   1 Three_Kingdoms                                                                                                                                                                    
    795      42    44936      34016      56.66   6296   1 NVIDIA Share                                                                                                                                                                      
    420      34    58936      86384      48.08  12076   1 chrome                                                                                                                                                                            
   1593     117   156832     191984      45.23   8060   1 SearchUI                                                                                                                                                                          
    498      97    54616      57312      41.33   5980   1 nvcontainer                                                                                                                                                                       
    338      35    74072      78980      33.25   5808   1 NVIDIA Share                                                                                                                                                                      
    371      34    66132      95708      30.42  13536   1 chrome                                                                                                                                                                            
    422      21     7452      11784      19.61   5972   1 nvcontainer                                                                                                                                                                       
    383      29    37120      67504      17.00  11592   1 chrome                                                                                                                                                                            
    425      30    35052      55440      16.64   7672   1 OpenHardwareMonitor                                                                                                                                                               
    700      18     8124      19844      11.81   6004   1 sihost                                                                                                                                                                            
    254      15    13228      23244      11.06   4060   1 conhost                                                                                                                                                                           
   1102      44    51964      78528      10.16   7752   1 ShellExperienceHost                                                                                                                                                               
    590      35    88296      75388       8.77    788   1 steamwebhelper                                                                                                                                                                    
