
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1634     126   103304      50136   1,026.11   2460   1 Steam                                                                                                                                                                             
   1728    2474  8889596    2600412     627.02   3400   1 Warhammer2                                                                                                                                                                        
   2239      76   166924     122292     601.06   7356   1 chrome                                                                                                                                                                            
    727      52   363928     134580     581.73    468   1 chrome                                                                                                                                                                            
   3588     165   185948     134704     579.63   6596   1 explorer                                                                                                                                                                          
    514      29    36904      33876     145.41  12268   1 chrome                                                                                                                                                                            
    398      28    43264      13632     100.55  12348   1 OpenHardwareMonitor                                                                                                                                                               
    255      15    13732      10728      84.73    428   1 conhost                                                                                                                                                                           
   1936     267   618912     540720      79.55  12452   1 chrome                                                                                                                                                                            
    881      41    45024      26284      79.20   6296   1 NVIDIA Share                                                                                                                                                                      
    770      72   244436     220072      66.64  13248   1 chrome                                                                                                                                                                            
    383      35    63604      14040      66.31   8648   1 chrome                                                                                                                                                                            
    498     106    55476      35412      60.72   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     163764      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14676      42.55   7672   1 OpenHardwareMonitor                                                                                                                                                               
    338      36    71076      47808      40.14   5808   1 NVIDIA Share                                                                                                                                                                      
    335      35    93824      80248      37.80  12652   1 chrome                                                                                                                                                                            
    454      21     7444       6844      31.75   5972   1 nvcontainer                                                                                                                                                                       
    370      44   104564      61620      25.22  13100   1 chrome                                                                                                                                                                            
    646      38   107740      43764      21.97    788   1 steamwebhelper                                                                                                                                                                    
