
Handles  NPM(K)    PM(K)      WS(K)     CPU(s)     Id  SI ProcessName                                                                                                                                                                       
-------  ------    -----      -----     ------     --  -- -----------                                                                                                                                                                       
   1639     126   103304      50432   1,025.08   2460   1 Steam                                                                                                                                                                             
   2246      77   167004     122676     600.97   7356   1 chrome                                                                                                                                                                            
    725      51   363512     135956     581.55    468   1 chrome                                                                                                                                                                            
   3619     157   189300     137196     578.61   6596   1 explorer                                                                                                                                                                          
    526      31    36864      34056     145.41  12268   1 chrome                                                                                                                                                                            
   1730    2246  6006704    2208928     109.48   3400   1 Warhammer2                                                                                                                                                                        
    398      28    43264      13680     100.52  12348   1 OpenHardwareMonitor                                                                                                                                                               
    255      15    13732      10768      84.67    428   1 conhost                                                                                                                                                                           
   1936     264   607972     530428      79.47  12452   1 chrome                                                                                                                                                                            
    882      41    45080      27964      79.17   6296   1 NVIDIA Share                                                                                                                                                                      
    383      35    63604      13020      66.31   8648   1 chrome                                                                                                                                                                            
    770      71   242472     219364      64.69  13248   1 chrome                                                                                                                                                                            
    498     106    55476      35788      60.64   5980   1 nvcontainer                                                                                                                                                                       
   2051     171   201444     168696      60.56   8060   1 SearchUI                                                                                                                                                                          
    458      31    38448      14676      42.50   7672   1 OpenHardwareMonitor                                                                                                                                                               
    338      36    71080      47608      40.14   5808   1 NVIDIA Share                                                                                                                                                                      
    332      38   104696      86068      37.33  12652   1 chrome                                                                                                                                                                            
    454      21     7444       7000      31.75   5972   1 nvcontainer                                                                                                                                                                       
    367      44   103688      61396      25.20  13100   1 chrome                                                                                                                                                                            
    646      38   107740      47792      21.97    788   1 steamwebhelper                                                                                                                                                                    
